tweet_bersih,label_sentimen,label prediksi
hai teman teman sekolah offline tugas banget tawar jasa joki tugas tawar pilih joki ringan tugas temanteman banget sila kunjung website,-1,negatif
us kemarin pakai kertas uji offline kali sekian orang paham sekolah offline sem ptm alhasil paham bukti raport sem tinggi wkwk,1,positif
anjink murid butuh perhati khusus sekolah offline bye,-1,negatif
tertawa anjing cokkk semenjak sekolah kuliah masuk full tatap muka solo macettt anjing kali malam minggu macet cokk niat pasar malam kira macet pas masuk gerbang kraton macet situ serah,-1,negatif
banget gara gara pandemi seperti uji coba takutt banget berangkat keringet dingin daring masuk sekolah offline kambuh panik sekolah,-1,negatif
tahu ppg prajabatan sistem kuliah offline bentrok jam jam ajar sekolah,-1,negatif
iyapp smstr offline sekolah ruang kelas tingkat lanjut tingkat bangku kuliahh luluss deh kykk kemarin hibernasi besok kelulus,1,netral
turut tugas sekolah daring deh asa banding offline sekolah aneh,-1,negatif
i feel nderr sahabat niatin sekolah ilmuu nilai tinggal usaha bisa doaa biasa uji offline pas kuliah nyontekk berkah nilainyaa,1,positif
iya pas antar anak sekolah offline menang jalan,-1,negatif
pagi mas al azhar masuk sekolah offline muaceeeet pol,-1,negatif
pat offline kh pakai kertas daring sekolah,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
iya bawa anw kelas huhu semangat sekolah offline wkwk,1,positif
saya sekolah offline rasa nama sekolah,1,positif
moots doa bisr besok bstuk flu ku hilang rabu sekolah offline,1,positif
bayang sekolah daring tb tb patnya offline alias ngang ngong ngang ngong,-1,negatif
dindik kota madiun izin sekolah buka ppdb offline,1,positif
sekolah daring dengar pas offline,0,netral
ala bongkar identitas acil ah daring malas banget sekolah maaf sekolah offline ltlt sedih banget graduation pas pandemi farewell suka pergi kota,1,positif
butuh kelas buku utbk les onlineoffline try out yearbook purnawiyata bebas gantung sekolah masingmasing,0,netral
samping produkproduk usaha muslim pamer informasi sekolah sunnah talkshow bedah buku sayang hadir pamer buka daftar offline,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
iyhhh kayak ribet offline pas sekolah hitung daring semester full off wkwk,0,netral
stres stres gila wkwk capek capek sekolah offline pulang langsung bimbel utbk jalan oh kelas kejut duga seru xixi,-1,negatif
profesional sekolah tatap muka covid marak beda dapat maki anak orang bego,-1,negatif
nderr ajar rasa koo pat offline ajar lihat hasil alhamdulillah syukur banget mampu ku manfaat banget sekolah ilmu,1,positif
semenjak sekolah offline maaf kasih saran atas,0,netral
negeri sulawesi selatan ppdb offline,1,netral
sekolah full offline ramai banget jalan,-1,negatif
daring sekolah tatap muka eh pas bijak tatap muka daring,0,netral
sekolah offline guru bimbel bingung sesuai jadwal banyak les bimbel sang anak wkwk,-1,negatif
kangen sekolah pas pandemi kangen pas sekolah offline,1,positif
beli laptop laptop pakai make laptop jarang semester sekolah offline,0,netral
masuk kuliah offline alam masuk sekolah menit henti jalan perut kram kepala putar diterusin jalan takut tabrak jatuh malu,0,netral
pagi sekolah offlinegt,1,positif
bebas buka masker sepi sekolah offline eh,1,positif
sekolah enak banget anjing uji offline pakai hplaptop saya pakai kertas tt,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
uji and actually not bad takut uji offline sekolah uji sekolah ngerjainnya pakai gform but remember kakak reggie said pana enteng if im not salah,-1,negatif
pandemi endemi pagi aktivitas mulia jam pagi lalulalang kendara ajar sekolah antar orang tua motor sekolah tatap muka buka,1,positif
good pagi on this foggy monday pagi christyjkt semangat sekolah offline main handphone kelas sita,1,positif
sekolah offline anak bolos nature is healing,-1,negatif
galau gara dreamies pakai acara sekolah senin offline,-1,negatif
terima kasih fotonnyaaa sekolah offline semangat christyjkt,1,positif
sekolah offline tta teror teror seru banget gilakkk moots hilang,0,netral
enas anjing wkwk saya suka orang kelas lumayan kali pulang bareng kelas daring full kontak kecuali sekolah kerpok diskusi kelas tatap muka batas saya suka,0,netral
mei srp usaha sekolah,0,netral
kayak sekian abad tonton konser offline tonton artefac daring ngegigs offline suara habis kaki saya gemetar wkwkwkwkwkwk partner nsy jaman sekolah goksss wkwk,0,netral
percaya hem pandemi beda sekolah swasta negeri adik swasta pas pandemi zoom pagi sore kelas offline ber pegang guru pas pandemi room zoom isi orang guru kontrol,1,positif
sibuk banget sekolah offline jani offline gaaaa,-1,negatif
bayang kelas daring guru ngangong banyak habis gara gara kendala teknis guru njelasin masuk otak kita malesan gara gara kelas jeder offline uji sekolah offline kejar utbk bayang stressnya kayak bgimana,-1,negatif
christyjkt sekolah offline selamat sekolah dedek,1,positif
sekolah uji daring besok senin suruh uji offline be like,0,netral
sekolah offline capek aduh,-1,negatif
saya seram pas sekolah offline seru,1,positif
akuuuuu skincarean ajar jarak jauh rasa sekolah offline,1,positif
i feel nder hasil bagus sontek percaya deh hasil usaha bangga puas ajar mudahin materi sekolah offline,1,positif
murid saya anak tabur sekolah offline misuh malas gerak tawur raga,-1,negatif
totebag muat siap sekolahkuliah offline a thread link,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
myslf kadang pas lembur suka pikir tidur wkwk sekolah offline kurang tubuh kayak istirahat begadang kayak hilang,1,positif
eh anak sekolah dasar sekolah offline,1,positif
ajar fisika paham konsep ajar guru sekolah masuk otak besok pat fisika offline no contek contek sender duduk moga lekas sembuh mental sehat sender tolong bingung,-1,negatif
sbbb kakak aaaaa thankyouu banget kakak usaha kayak sekolah offline nyaman daring kelulus uji semester kakak semangat,-1,negatif
tertawa main pas jaman sekolah offline emosi cndy,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
nak wedhok sumeng pagi suruh sekolah daring offline sekolah teman ulanganaku susul repot oke fine kak langsung dropping sekolah sore kabar nak wedhok goes to dokter,1,positif
ih gapapaa sekolah offline on twit tt mingdep uji naik kelas,-1,negatif
kampung oke saya saya renov jarang kampung offline emosi banget pagi ketuk pintu bangun anak sekolah ribut hidup mati lampu tegur fuck,-1,negatif
bebas buka masker tempat sepi sekolah offline eh,1,positif
ayo donggg sekolah daring sekolah offline teman gaseruuu banget,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
anjjj sekolah offline rencana kemarin orang malas,0,netral
aktivitas offline kerja kuliah sekolah banding rumah stream pengaruh capa goals buruk,-1,negatif
wow kondisi anakanak ajar tatap muka sekolah tenang ringan beban anak orang tua jalan ajar jarak ajar jarak jauh puan solusi bangsa,1,positif
ily benerrrrrr bongkar rahasia sekolah offline wkwk,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
sekolah daring pakai aplikasi offline hadir,0,netral
tambah orang aktif wfo sekolah offline,1,positif
luring offline iya offline sekolah langsung,1,netral
yuhuuuuu episode tonton kamu saudara laki iya alif tracy sharing sekolah onlinedan banding sekolah tatap muka relate banget tonton saudara laki,0,netral
christyjkt enak lebih baik sekolah offline ketimbang sekolah daring,1,positif
percaya senang anak sekolah offline kesal macet dekkkkk pakai helm nungguan teman yaampunnn marah akun pulang kerja capek adik huhu tolong,-1,negatif
sekolah offline awal adegan tolong celaka kerja,1,positif
besok st day jenna sekolah offline maknya deg degan jiper,-1,negatif
diperlakukanya temu tatap muka seluruh sekolah harap program merdeka ajar jalan,1,positif
wahhhhh stay aman binnnn sekolah jam berapaaa iajdjjas maaf zhei curious zhei offline covid tt,0,netral
sekolah kerja offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
gapapaaa takut wkwk kali pat offline sekolah seram ajar doa semangaat yaaak,1,positif
emm dif offline pas daring tolong kasih foto teman pas ulang eh kasih donggg guru salah pakai baju sekolah asa kasih pap oi,0,netral
semangat sehat raih mimpi bintang takabur sukses offline school indah sekolah ajar tahu adab,1,positif
christyjkt oi toyy malas banget sekolah offline semangattt,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan pm,1,positif
acara offline sekolah anak kelas semuaaaaaaaaaaaaaaa,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
ranah cuti sekolah minggu rakyat malaysia cut belanja offline,0,netral
ukk offline sekolah,0,netral
foto tugas sekolah ketemen kwwk foto papan tulis selagi kelss tatap muka wkwk video kenang sekolah kaliyaa,1,positif
kemarin beli illegal versi aman beli jalur legal mkr urus anak offline masuk sekolah,0,netral
ppdb kota yogyakarta simak jadwal ppdb tk sekolah dasar ppdb yoyakarta offline jalur,0,netral
sekolah offline susah lebih baik jual kitu reseller sekolah,-1,negatif
christyjkt anya sekolah offline,1,positif
koko sekolah daring lawan koko razia pas offline,0,netral
pas brangkat sekolah teman jemput arah saya enak kasihan kondisi saya iya mandi anjr tunggu lambat masuk utg coba offline,1,positif
kali coba bangtan sekolah offline,-1,negatif
pakai sepatu converse imitasi uang beli beli pas lulus sekolah pakai kuliah pas jaman offline salah semester saya kerja kelompok indekos saya,0,netral
pokok offline biar tenaga saya habis melulu pulang sekolah saya bodoh prokes,1,positif
mpls offline pandemi mpls daring sekolah cari panitia mpls offline panitia mpls yaynay,1,positif
sekolah offline kakak,1,positif
dindik kota madiun izin sekolah buka ppdb offline,1,positif
christyjkt pagi adik semangat sekolah offline,1,positif
hihi maaf off twitter masuk sekolah offline sibuk tenang buka slowresp jam malam fastresp,-1,negatif
ayo teman teman kening belang semenjak sekolah offline pakai sunscreen by the way butuh banget nyerahin bb,-1,negatif
maaf kelas selsai jam for yearsss sekolah saya pulang jam kurang jam and when yel were sleeping saya selsai sekolah jam andd optimal ajar sunyi fokus dibandingin offline school berisik ramai fokus,-1,negatif
kerja sekolah kuliah offline please pakai masker jaga sehat hepatitis akut,-1,negatif
kali presentasi tatap muka sekolah daring gilir bicara masker buka jujur saya buka masker kondisi wajah saya bagus saya percaya pas guru saya,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
kayak pas sekolah offline wkwk langsung les capek banget sangka libur karantina,-1,negatif
iri banget adik kelas wisuda offline angkat saya cancel anyway selamat adik adik sekolah pandemi susah enak gabutnya wkwk moga lancar studi karirnya lulus sekolah ribet bosss siapppp kwkwkwk,1,positif
ppdb jabar daftar offline sekolah ambil pilih,0,netral
guru matematika pas sekolah offline nerangin materi kelas murid respon,0,netral
kangen banget paraaaaah tt sekolah offline sibuk deh huhu,-1,negatif
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gusy,-1,negatif
tertawa onlineoffline sekolah wajar bingung mksndya ajar rumah daring libur,0,netral
syapa bingung takut nilai geblog ulang offline pakai tab sekolah handphonenya kumpul kerja scroll tiktok pikir,-1,negatif
kesal gara covid sekolah offline gabung kelas smstr kelas doang fakk nolep,0,netral
mas kayak sekolah tatap muka coroncesss hilang sungjin aiihhh virus cinta ngreog mas,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan solusi bangsa,1,positif
ulang sekolah ramai banget offline,1,negatif
bego daftar offline sekolah tuju kasih dokumen persyaratanjalur rapotamp juara bodoh erti,0,netral
kenduri kendara pon sekolah no wonder results spm offline daring harap daring iya takut niii,-1,negatif
sekolah resmi ajar tatap muka paham guru asli guru lamakelamaan adaptasi anak senang ajar saya saya banget pas saya resign sedih,1,positif
alhamdulillah kemarin kakak cantik order order harga rbpouch sayang berat gede jual kamu sekrg sekolah tatap muka harga jual beda minimum ordera yuk order momo,0,netral
sekolah tatap muka,1,positif
sekolah offline kayanyaa huhu,-1,negatif
lancar seru sekolah offline kangen sekolah bad cepat gede ayanggg hihi enak anak sekolah,1,positif
uang seragam hubcabang offline fasilitas anak ajar suka visi misi anak kembang disamaratakan mampu sekolah sulung,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
perintah mengijinkan sekolah laksana ajar tatap muka jaga sehat anak pasti ikut tips soebat sehat,1,positif
jadi teman jemput grabcar rumah bapak anak sekolah offline teman anak maaf eh suami antar teman kerja teman single,0,netral
resah anak sekolah offline pengaruh bilang buruk siswa umur paut anak,-1,negatif
siswa sekolah dasar tengah ajar daring rumah senin juru bicara perintah beijing xu hejian,-1,negatif
bb rekomendasi moisturizer orang serum bagus kulit belang semenjak sekolah offline jidat sender belang banget,-1,negatif
saya angkat corona sekolah full tatap muka setahundua saya daring saya interaksi teman teman kelas chat kebanyakantapi rela pisah sekolah tengah juru saya smkyadikamdo warna,0,netral
prefer uji daring sekolah orang uji offline pakai kertas sekolah,0,netral
alhamdulillah banget syukur ptm laku ajar senang anak sekolah offline,1,positif
sekolah tatap muka terima sabtu libur,0,netral
gila seperti saya sekolah offline,-1,negatif
sekolah offline google classroom tugas,0,netral
aaaaa sekolah offline saya full,-1,negatif
iya sekolah mbak offline sklhnya,0,netral
bagus pagi semangat pat daftar ppdb sekolah offlineonline wish luck and have a great monday,1,positif
woiii besok saya sekolah tatap muka degan banget,-1,negatif
libur sekolahhhh akhirnyaaa les libur lega emak pikir kerja rumah google meet zoom google classroom absensi isi borang skrining daring ptmt moga next academic offline masuk sekolah fulllll,1,positif
sksksks pikir kuliah offline gmnaa saya tinggal rumah emak buru buru sekolah sekolah beda kota suap huhu,0,netral
negeri sulawesi selatan ppdb offline,0,netral
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gengs colong,-1,negatif
panic attack kambuh pas sekolah offline ngelampiasinnya buku oke repot orang,-1,negatif
sekolah kuliah offline pas butter daring,0,netral
tani jaman sekolah offline daring butuh nge tingkat yuk ikut challenge,0,netral
nder sekolah offline kerja rumah beda kurang menfess kayak kasih semangat streaming jadi beban,1,positif
sekolah offline ajar sempoa kangen murid hebat hhehe,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
ikut sedih lucu kondisi bocah jalan hidup sekolah tatap muka teman ajak tantang truk teman,0,netral
offline kemarin corona marak sekolah mau offline,1,positif
aduh jumat sekolah offline ku usahain premier,-1,negatif
sebentar banget bukti kelas takut banget masuk sekolah banget masuk offline kelas,1,positif
saya diet sekolah offline,-1,negatif
terima sakit hati suka wkwk aneh janani pikir ku suka semester kelas sekolah offline pikir ketemu,0,netral
oh oke oke pikir ulang offline sekolah,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
maksud kuliah kerja sekolah offline urus sibuk,-1,negatif
daring store nder offline store jual kayak toko lengkap pramuka pas jaman sekolah beli sepatu lomba paskib,0,netral
kaji kesiap wacana sekolah tatap muka partai adil sejahtera jawa timur gelar webinar via,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli layan,1,positif
ppdb sekolah dasar yoyakarta buka sistem rto daring offline simak syarat daftar daftar sekolah dasar ppdb rto yoyakarta,0,netral
sekolah offline seru milik teman mudah erti banding daring,1,positif
sebentar doang sekolah offline ngangong,1,positif
loml iyaudh offline pulang sekolah,1,positif
christyjkt selamat enjel semangat enak sekolah offline,1,positif
pusing pilih tas sekolah beli daring offline,0,netral
hasil antigen minggu susah dad syarat masuk anak kelas offline wajib tes lab boleh tes mandiri murah jalan masuk sekolah jarang improvement ada,1,netral
gubernur jawa timur khofifah indar parawansa kabar kabupatenkota jawa timur masuk status ppkm level giat laksana tatap muka ptm sekolah gelar persen,1,positif
semangattt sekolah offline ulngn,1,positif
hidup normal hadap macet sekolah kuliah ngantor laksana tatap muka,1,negatif
wkwk saya introvert semangat sekolah offline sosialisasi ilmu nomor,1,positif
sekolah offline,1,positif
mem driverny kurang kayakny anak sekolah full offline habis saya lihat pagi mzr kayakny gojek banget antar siswa sekolah,1,positif
sekolah tertawa hihi uji semester offline,0,netral
urus siswa anak medot sekolah alas suka ajar jarak jauh ingin ptm gilir ptm mau medot medot alas nyaman giat ajar ajar offline mau ajar jarak jauh sambi main game daring,0,netral
temanteman kerja sekolah kuliah offline please pakai masker jaga sehat bersih hepatitis akut,-1,negatif
sekolah wilayah jabar aju giat ajar ajar tatap muka dukung maju nusantara,1,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan solusi bangsa,1,positif
saya cello helga paket rumah saya sekolah offline pindah kota paket kirim saya senang banget buka paket wrwrwrwr,1,positif
jangaaaan anak gakjadi sekolah offline bayar mahal,1,positif
sekolah offline jdwal sekolah tugas tumpuk close free open fast resp jadwal open ambil mana free nder,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
kahskshsj sekolah offline sebal,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
part pulang kampung gara gara sekolah offline,-1,negatif
heran apaapa takut takut takut takut ppak cuuuyy kuliah offline kayak sekolah ruang normalisasi,-1,negatif
today situation juggling kerja urus sekolah kakak offline riwa riwi the other partij siap world tour the other partij,0,netral
saya pikir teman teman gara gara sekolah offline uji pas butter serba daring,0,netral
yay saya offline soalnyy kemarin teman saya studytour bawa itu seperti paketny langsung kirim sekolah saya boarding erti gara gara lempar banting kamera pakai,0,netral
semangat christyjkt sekolah sekolah offline by the way sore giat,0,netral
tertawa besok saya benar wisuda aduh saya isi daring ketimbang tatap muka sekolah jujur,1,positif
nder offline biasa bekal sekolah,1,positif
anak sekolah aktif offline macet parah banget plizz,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
pantau minggu sekolah offline full day tangan ombre,-1,positif
pulang sekolah ajak tatap muka dua kelas anak anak masalah sadar salah sadar orang tua peduli sayang hilang semangat ajar faktor,0,netral
sekolahkuliah offline cung,1,netral
gcfs sekian sekolah tatap muka kelas tarik tuju,1,positif
sekolah offline,1,positif
minggu minggu pandemi minggu normal kuliah offline kerja kayak anak sekolah masuk handphone daring rasa masa,1,positif
wkwk buna mah adik al sekolah offline bun,0,negatif
tolong deh anak girang pagi tenang sekolah tatap muka normal jalan,1,positif
pandemi reda sekolah offline deh sulit adaptasiin fisik mental loyo santai santai,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
sekolah offline full capai,-1,negatif
waspadacacarmonyet aduh ampun konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek,-1,negatif
santai jam sekolah daring enak offline bolak,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
mplsacara sekolah offline,0,netral
pas daring uji sekolah ku make quizizz offline make quizizz,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
sekolah offline tugas video presentasi,0,netral
anjing sekolah wisuda offline jalan jalan bal,-1,negatif
kakak kelas nder pasti sekolah offline jaman daring jomlo,1,positif
christyjkt pagi njel semangat sekolah offline,1,positif
efek sekolah offline pintar,-1,negatif
sekolah offline,-1,positif
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gengs colong,-1,negatif
kelas asa banget circlean circle nimbrung bareng kangen kemarin potong pandemi coveed suka sedih bayang pas sekolah offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
kerja sekolah kuliah offline rumah aktivitas pakai masker jaga sehat hepatitis akut,-1,negatif
fmr surabaya ajak kawan capai sosialisme ikut sekolah politik hari sekolah offline,0,netral
asyik banget sekolah offline,1,positif
bebas buka masker tempat sepi sekolah offline eh muncul,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
haloo kakak sekolah ada pensi offline gs the overtunes minatt banget click link kak,1,positif
saran saya nder sekolah langsung verifikasi data manua saya siang daftar senin accord daftar offline langsung hijau kasih kertas daftar,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
main bola futsal les bilang alih baik darimg sadar sekolah offline kaget sebelumny pikir daring lulus,0,netral
sekolah offline sebentar kenang,1,positif
wkwk anjing saya keluar keluh kesah sekolah saya doang uji offline pakai kertas ljk jujur sekolah daring masuk otak maaf banget shock pakai ljk,-1,negatif
sekolah international internasional kurikulum bla bla bla periksa alternatif sekolah rasa kurikulum sekolah anak saya blended learning offlineonline,0,netral
adil sekolah daring offline susah banget jujurly nyaman daring,-1,negatif
i hope everything gets better sekolah offline sedih hilang,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
susah naik durasi menit durasi pengaruh views army anggur jaman dynamite butter cepat banget work from home sekolah daring offline,0,netral
dom daring berangkat sekolah sekolah pakai kertas offline,1,positif
kemarin pas kakak perempuan wina bandung suami semangat kerja deh orangorang libur bandung yoyakarta singapura sadar libur anak sekolah offline piraku sakola liburannnn,0,netral
pat offline sekolah pasrah nilai na menang,-1,negatif
merekaaa kayak lihat kangen sekolah offline aduh,1,positif
anjing coy sekolah offline kelas wifi alias kelas saya,-1,negatif
syukur iya minggu pat besok beres aman habis giat sekolah onlineoffline,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
kangen sekolah offline alskslslsl,1,positif
bisabisanya sekolah pisah offline sekolah ku daring sedih daring tt,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
sekolah offline full capai,-1,negatif
cek jadwal syarat daftar ppdb yoyakarta non rto ppdb offline yoyakarta lengkap jalur buka via detikedu,0,netral
sekolah full tatap muka yuk siap makan halal thoyyib untukananda,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
pindih sekolah ku offline,1,positif
sekolahkuliah offline mandi siang kali,0,netral
kasihan murid saya dibolehin orang tua sekolah offline stay rumah kelas daring,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
christyjkt semangat sekolah offline sulit,1,positif
miris didik jaman penting gadged didik maaf usir tahun sekolah daring memilikihpandroid ampsaat ajar tatap muka memilikiseragamamp lengkap sekolah,0,netral
sekolah offline senang,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
saya kerja tutor daring offline musim utbk pasu lobus sekolah orang sepi pasu kadang sereeeet banget,1,positif
christyjkt sekolah offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
cai bukaaan ulang sore habis sekolah offline,0,netral
efek sekolah tatap muka kali,1,positif
kelas aktif ngekpop kelas wkwk ajar enjoy bina matik ekstra tari aktif banget tampil kayak beban seru mpls pta mopks latih paskib sekolah offline fullday minggu car free day,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
sekolah offline,0,positif
kita usaha streaming kayak paksa peringkat sekolah tatap muka uji kerja full wfo peringkat turun moga semangat myyy,0,netral
offline nder kemarin sekolah banget anak orang tua sekolah tapiiii deng,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan pm,1,positif
ily samaaa pas sekolah offline,1,netral
instansi didik indonesia aktiv ajar sekolah offline sepatu barugirls langsung cek linknya,1,positif
christyjkt cieee sekolah offline semangat lupa sarap,1,positif
saya rasa sekolah offline eh kopit sekolah rumah pas lulus kangen jaman sekolah rasa doang sekolah offline,1,positif
rl guru sekolah offline kasih alas,0,netral
pokok pas pandemi kuliah sekolah offline sibuk tugas kakak sekolah offline anak kerjain tugas guru lempar buku kata ejek menang anjing,-1,negatif
hows your day tementemen alhamdulillah sekolah tertawa hihi rate tugas pusing oke i enjoy the process minggu pat offline sekolah metode daring handphone semangat all,1,positif
army lini sepi heboh heboh karantina kerja sekolah les offline seperti but bts army still the nguasain tren chart favorit huhu salty iya,1,positif
ayo absen sibuk batukpilek bapil serang suami huhu bapil musim bu oleholeh libur kemarin tambah anak aktif sekolah tatap muka,-1,negatif
saya kaget banget pas sekolah offline tingkat kemarin dekel canda teman saya teman twerking muka saya saya duduk lantai,0,netral
sekolah kota madiun buka ppdb offline,0,netral
did great for this monday yel lupa istirahat minum vitamin kuliahsekolah offline yorobun,1,positif
rilll coy semenjak sekolah tatap muka cepat antuk,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan pm,1,positif
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek banget kenal teman pokok mesti stay aman teman teman,-1,negatif
christyjkt seru adik semangat sekolah offline dedek,1,positif
semenjak sekolah full day offline nge fangirl,-1,negatif
lihat orang wisuda offline seru sekolah,0,positif
informasi jual flashdisk sandisk gb harga pasar kamu cocok wfo sekolahkuliah offline sila beli shopee sedia shopee,0,netral
saya kampung terang anak masuk sekolah tatap muka smester saya tokoh orang udik suka pikir kritis,0,negatif
srkng fokus script isiny revisi revisi revisi ayo doa moga besok revisi amin soalny sekolah jam offline anjrtt aaa habis santai sebentar main game jam ngeberesin jurnal script,-1,negatif
laksana lomba hardiknas luring tatap muka sekolah cinta kasih tzu chi lomba cerdas cermat debat nyanyi,0,netral
recap like i said about days ago saya konten study progress and here it is saya sekolah offline sore langsung pergi sb homework saya numpukk anw bahagia satnight and rest well lt,1,positif
ppkm level jabodetabek terap ajar tatap muka sekolah,1,positif
selesai pat kemarin jumat masuk saya susul susul matematika besok jam pagi sekolah offline doa moga susah,1,positif
dungakno mben sekolah offline e lancarseger waras,1,negatif
brain academy semester ajar mipa ajar sekolah pas semester intensif utbk ajar soshum brain academy offline nder les offline ruangguru detail direct message,0,netral
maaf curhat base bingung cerita anw uji offline sekolah,-1,negatif
kakak sedih banget jujur kangen banget sekolah offline on twit mingdeo uji naik kelas huhuhuh tt,-1,negatif
gara masuk offline saya puas oi sekolah saya pakai seragam saya ajar rasa pas saya modusin crush saya art show jabajo,1,negatif
