"username","tweetcreatedts","tweet","label_sentimen"
"woodybudduies","2021-10-26 04:45:14","Happy me
Ngantarin gempur sekolah offline 🥰 https://t.co/xYvckz2dFo","1"
"ay_riil","2021-10-26 04:39:35","ini acc masih aktif yaa, jangan di unfoll :""
cuman aku jarang on karena aku udah sekolah offline","0"
"wanderluct","2021-10-26 04:33:37","lu kalo zoom class matiin kamera ya masuk sekolah offline lgsg begini bentukannya https://t.co/Amb7JOhlGR","-1"
"NISHlMURARIKI","2021-10-26 04:23:58","@bluehooun ayo mutualan priv kaa klo bolehh, aktif ga aktif si disini xnxknsks semenjak udah sekolah offline agak jarang buka akun ini huee","0"
"pshkidd0s","2021-10-26 04:19:19","sp yang udahhh sekolah offline cung","1"
"Bubujeduar","2021-10-26 04:16:11","@nrtama_ capee sama tugas sekolah online tp klo disuruh offline takut ketemu org baru😭","-1"
"Apriyani96","2021-10-26 04:13:30","@user231103 @armbdr @pearcchlt @mineisel @whtsAppbby Mabal online?
Soalnya setahuku PTM sekolah offline to?","1"
"heyhiira","2021-10-26 04:11:10","@FunthesticL Uda sekolah offline ??","0"
"softkornn","2021-10-26 04:07:49","@paslevotre_16 udah sekolah offline lau?","1"
"kynghocityx","2021-10-26 03:54:47","semoga 2022 udah bisa sekolah offline kaya biasa yaa, capek bgt begini trs🥲","1"
"PutuMita15","2021-10-26 03:53:38","@Fajri_UN1TY lagi sekolah offline nih kak https://t.co/Fz8ZTA789O","1"
"ArdanNews","2021-10-26 03:53:15","Kunci Jawaban Buku Tematik Tema 4 Kelas 3 SD Kewajiban dan Hakku di Rumah Halaman 14, 15, 16 dan 17: Meski sudah banyak sekolah yang memulai sekolah offline, namun sebagian besar proses belajar dari rumah masih dilakukan. https://t.co/0HiAyGcbsr","1"
"akuantariksa","2021-10-26 03:51:52","Jujur anjir, gue ga nyangka bisa lancar ngomong di depan kelas
Udah 2 tahun ga sekolah offline gt kan padahal, tapi tiba-tiba berani","-1"
"Shafira19232949","2021-10-26 03:49:00","@Fajri_UN1TY Lagi mau sekolah offline","1"
"lov1nidle","2021-10-26 03:44:23","haii tabi sudah pulangg sekolah offline , kamu offline atau online ?","0"
"OmarAlbany","2021-10-26 03:44:11","@A_LuluJKT48 Demi kamu aku sr sambil sekolah, mana sekolah offline","-1"
"ginxxaax","2021-10-26 03:44:08","@itzelguise @armbdr Mjb, pelajaran tatap muka. Sekolah offline","1"
"hyunsuksflickv","2021-10-26 03:43:42","Halo guys selamat siang,pada sekolah offline atau daring nihh","0"
"itsmecamq","2021-10-26 03:43:16","@skrsbrees Loh masih daring?? Kukira udah sekolah offline","0"
"jeonhongie","2021-10-26 03:42:07","Svt konser online apa offline? Kaget bgt baru pulang sekolah 😢","0"
"jaceminlatte","2021-10-26 03:38:49","Yang sekolah offline biasanta pulang jam berapaa?🤔","1"
"donttalkkk","2021-10-26 03:36:34","@schfess gpp kali beb, lu bisa sekolah offline aja udah sukur 😭 kangen tau daripada online dirumah sampe lulus","1"
"drizzlebeez","2021-10-26 03:36:01","@ournutrijijel Gue udah sekolah offline","1"
"dolaxyx","2021-10-26 03:32:17","@Fajri_UN1TY nugas nii,ak lgi sekolah offline","1"
"eunoiarainnn","2021-10-26 03:27:10","@Fajri_UN1TY lagi sekolah offline ji, ngantuk bangun tidur","0"
"seesawpie","2021-10-26 03:26:40","gasabar merasakan moment pulang sekolah pas sekolah offline","1"
"seaggulkim","2021-10-26 03:25:32","Gasuka sekolah offline tapi cape sekolah online","-1"
"RachelRhabani","2021-10-26 03:22:25","Giliran sekolah nya offline malah ga dibolehin sekolah, hadu.","1"
"belongstolia","2021-10-26 03:12:47","aaaa aku gak siap buat sekolah offline back normal","-1"
"caramellmw","2021-10-26 03:08:31","Kalian hari ini sekolah nya offline/online?","0"
"yutyutacho","2021-10-26 03:06:25","@alrighvt seruu xixi, sekolah nya offline atau online nii? jangan lupa makan yaa, hv a nice day!","1"
"schfess","2021-10-26 03:00:34","Pagii semua untuk yang sekolah offline semangat semuanya sch! https://t.co/1YIyyrkC9k","1"
"jayparkchingu","2021-10-26 02:57:30","Banyak yg udah offline ya sekolah/kuliahnya","0"
"yuddingt","2021-10-26 02:52:36","baru aja tadi bilang kangen sekolah offline wkwkwk https://t.co/SHsuaS2aE8","1"
"kthunvx","2021-10-26 02:51:21","@taedyflowery Ka mi Udah luluss sekolah? Atau blum offline?","0"
"juneehui","2021-10-26 02:50:18","aaa ko gada yg bilangin ak hpbd, lagi sekolah offline 😭😭😭 https://t.co/h6tmTxQk2S","1"
"blowoutbeats","2021-10-26 02:50:09","besok sekolah offline, malam ini gw sibuk ngerjain semua tugas","-1"
"kzhvcxx","2021-10-26 02:42:57","sekolah offline bikin bete","-1"
"ssweetbbyz","2021-10-26 02:34:38","mau izin rest deh, ku mulai aktif sekolah offline. yang daring pun penuh tugas 😔","0"
"ttikaaaa_","2021-10-26 02:32:20","@Fajri_UN1TY Haii aji,, lagi apa ni?
Aku lagi sekolah offline https://t.co/crYc4aVy1S","1"
"xcottonbabea","2021-10-26 02:16:29","@nctzenbase streamingnya liat waktu juga dimana waktu kalian luang, soalnya sekarang udah banyak yang sekolah offline looo ada yg kuliah jg, apalagi ini weekday kan ya, tp kalo kalian senggang yuk streaming🤩🤩🤩","0"
"Laviendya","2021-10-26 02:14:06","@alyaavrd morning, lagi sekolah offline ya bestie. ☺️","1"
"martabakjensoo","2021-10-26 02:12:11","@oh4eva Sekolah offline njir aku hari ini","-1"
"moonismaples","2021-10-26 02:10:29","@yeolbabylion SEMANGAT NA 😭 sekolah offline sih seru, yang ga seru tuh ntar gue ujian offline 😭😭😭😭","1"
"pbysalsabila","2021-10-26 02:08:35","@Fajri_UN1TY Pagi ajii, absen sekolah offline dulu👋🏻 https://t.co/M6vw6Di1PV","1"
"moonismaples","2021-10-26 02:07:19","yes offline school is cool, BUT NOT WITH UJIAN OFFLINE DI SEKOLAH","1"
"BigWinSepcitcyx","2021-10-26 02:00:06","@jaemcityx haiii makjii dr aku yg sekolah offline hjhi","1"
"terjehajeha","2021-10-26 01:59:46","@kimiychang @nctzenbase Karna sticker keluarnya hari jumat, orang2 udah punya banyak waktu luang, besoknya juga weekend. Kl favorite ini karna keluarnya hari senin, udah pada banyak yg sekolah, kuliah, kerja offline. Make sense juga sih ga secepet sticker","0"
"15november2002","2021-10-26 01:51:23","kalian yg sekolah offline apa online?","0"
"lucopan","2021-10-26 01:47:59","@cherrybomn @nctzenbase Lah elu yang knp. Gua kan cuma bilang kalo udah pada sekolah offline si sender kalimat pertama aja 4m udah cukup? Udah puas? No! Big no! Kudu ngertiin keadaan juga dong di korea juga lagi pada ujian di indo pada sekolah offline jadi gabisa rajin streaming kaya sebelum""nya","-1"
"Hellawwgaisss","2021-10-26 01:47:10","Senin deoann udah sekolah offline yeyyy 😭🙏🏻🔪","1"
"adultbitch3s","2021-10-26 01:45:55","kenapa sekolah offline tugasnya banyak bat","-1"
"penyediajasa","2021-10-26 01:45:48","@basejokitugas adikku lagi sekolah offline nih🤗","1"
"hwangmetii","2021-10-26 01:45:41","Kerja offline tapi lebih suka sekolah plis wwkwk https://t.co/V9YPJJ8zMF","1"
"fltrbunnyksjeon","2021-10-26 01:44:42","Sekolah offline ya?","0"
"Winzipy","2021-10-26 01:40:19","@hizeusss Rilisnya hari senin dan akhir bulan :'). Masa masanya orang gawe sama sekolah dan kampus sekarang dah offline juga :')","1"
"rAmaxdy","2021-10-26 01:36:32","sekolah offline prnya makin banyak anj","-1"
"caaleehc","2021-10-26 01:33:19","@luffbearr semangat sekolah offline nya melll, mapel apa tuh yg free?","1"
"acexillin","2021-10-26 01:32:39","GW LG SEKOLAH OFFLINE ANJING MASA IYAAA GUE TERIAK KAYA ORANG GILA DI KELASS DASARR DEJUNNN","-1"
"CeweBaik_","2021-10-26 01:29:22","@basejokitugas sinii nanti jam 12 aku sekolah offline","1"
"qnjmeen","2021-10-26 01:26:50","AAAA GUE ADA SEKOLAH OFFLINE PELAJARANNYA MTKKK MANA GURUNYA GALAK LAGI","-1"
"salvareth","2021-10-26 01:21:10","@convomfs Coba berangkat deh nder, buat latihan kalo udah  sekolah offline nanti kan berangkat tiap hari","1"
"satalune","2021-10-26 01:19:51","@convomfs ya kalo udah tau dr awal sekolahnya jauh kenapa pilih disitu? kan udah seharusnya take responsibilities sebagai seorang siswa. kalo dari awal offline juga lo bakal ke sekolah tiap hari","0"
"T4EOXO","2021-10-26 01:17:44","sekolah offline/online??","0"
"schfess","2021-10-26 01:16:14","SchApp! Yang sekolah offline, semangat ya!

✄・・・
🧐 Trivia: Katak padang pasir hanya keluar selama satu bulan di bulan Juli, dan tidur selama 11 bulan sisanya","1"
"chimoochim","2021-10-26 01:08:52","hai, hari ini yang sekolah, sekolah nya offline apa online ni?","0"
"eajjeaa","2021-10-26 01:05:56","Pagi moots, yang sekolah offline semangat ya","1"
"sshxkthinker","2021-10-26 01:03:29","@zwooflwr Ga pernah tidur nyenyak selama bulan Oktober 😭 sekolah masih online, tapi 2 minggu sekali offline. Okk u too!! Have a nice day too 🤩","1"
"taeeraly","2021-10-26 01:02:11","Kalian sekolah nya offline/online?
Me: offline https://t.co/hhNLrb025W","0"
"jeacminie","2021-10-26 01:00:29","hi aku hari ini sekolah offline
kalian offline/online?","0"
"nctzenbase","2021-10-26 01:00:26","Neozen, maaf gak bermaksud menyinggung siapapun. Kalo kalian mau ngingetin streaming gak papa bgt tapi harus baik2 juga jangan maksa apalagi dg kata2 yg kurang baik, inget sebagian drikita ada yg masih sekolah/kerja dan banyk yg mulai offline. Streaming sesempatnya aja  (cont..)","-1"
"nepsenus","2021-10-26 00:59:37","@msahrio sekolah offline atau online nih??","0"
"jaehyunensiti","2021-10-26 00:59:00","Pagii moots, pada sekolah online atau offline?","0"
"floersall","2021-10-26 00:58:54","@lunaemovas Kita satu kaum, akhirnya ada orang yg gak suka kembali sekolah offline  😆","-1"
"mxanindra","2021-10-26 00:53:22","akhirnya yang lain ngerasain capeknya sekolah offline","-1"
"luseofer","2021-10-26 00:52:40","DULU PAS JAMAN MASIH SEKOLAH OFFLINE😭😭😭 pasti aja begini
""yang kalah gantian ya""
""PAKE LAGU YANG SUSAH KEK""
""yang dapet bintang di level hard, nanti aku traktir seblak ws""
""lagu aju nice woiii""
""AAAA APAAN HDUSISHDOSHWIWJWBS"" /kalau kalah https://t.co/qWFgJySwhO","1"
"rjhychna_","2021-10-26 00:51:21","sekolah offline https://t.co/Jxgd0T5whw","0"
"renxnoir","2021-10-26 00:49:37","@encity_mlyt offline ini lagi di sekolah","1"
"minhimine","2021-10-26 00:46:16","@bertanyarl suka sekolah/kerja online/offline??","0"
"potatobee__","2021-10-26 00:39:06","ini adek-adek w sekolah dpt uang jajan, w di rumah doang ga dpt uang jajan, huaaa kpn kuliah offline","1"
"evoctvesungchan","2021-10-26 00:33:05","pengen sekolah offline tpi gk mau belajar😔☝️","1"
"aunoe_","2021-10-26 00:29:32","Udah effort bgt ni sekolah offline biar pelajaran, malah jamkos😇","1"
"ijattv","2021-10-26 00:29:03","waktu, bisa lebih maksimal belajarnya. mana gaboleh bawa bekal makanan, sedangkan sekolah jam 6.30 udah bel masuk. bingung gak lu sepagian gak makan, loyo. apalagi ye, oiya offline kan setengah doang, sisanya tetep d rumah, itu belajarnya makin gak maksimal. yang di rumah kadang-","-1"
"ijattv","2021-10-26 00:29:02","gue tim kontra offline sih. semenjak bapak gue meninggal kan mama gue harus kerja, jadi ga ada yang bisa anter jemput gue ke sekolah. sedangkan ongkos ke sekolah tuh 14k. 14k pulang balik 28k, uang jajan gue aje 25k doang. sekarang malah bingung uang jajan, gak ada yang ngasih.","-1"
"ulricaphy","2021-10-26 00:26:46","@DEARJAEMARK Iyaa padahal ini pas chorusnya easy listening bikin nagih, aku aja ngajak streaming ke temen yg non K-popers katanya lagunya enak 😭
Apa mungkin krn rilisnya di hari² weekday ya, terus udah mulai sekolah offline juga, jadi pada gk banyak waktu luang buat streaming 😥","0"
"raapriki","2021-10-26 00:26:35","@storyuntitledd yeay bagus! udahh, kebetulan sekolah offline aja ini 
btw, have a great day kak tii, semangat yaa buat hari ini! 🥰💪💪","1"
"schfess","2021-10-26 00:21:01","sch! gimana cara nolak orang kelas minta contek tugas pas sekolah offline:(. Hadeh, kan gamungkin bilang belum, nantikn ketahuan:(","0"
"sukacowogepeng","2021-10-26 00:16:50","semoga sekolah offline gue lancar https://t.co/cGvfk4640b","1"
"sukacowogepeng","2021-10-26 00:15:25","@bertanyarl sekolah offline","0"
"cukieeest","2021-10-26 00:14:57","sekolah offline🐄🐄","0"
"koominiey","2021-10-26 00:13:55","@ell_amethyst imel udah mulai sekolah offline kak😭
astagaaa kirain imel itu😭","-1"
"jakekthgf","2021-10-26 00:12:03","@Lionbby_ pgnnya si gt, tp gue sekolah offline 😭","1"
"derapiIu","2021-10-26 00:08:17","Ya Allah, sy bosen sekolah offline terus","-1"
"hnxxlee","2021-10-26 00:03:56","gamau sekolah offline😭","0"
"Opura_","2021-10-26 00:03:52","@szunarintarou Morning lang, hari ini kesibukannya apa? Sekolah? Kuliah? Online offline?","0"
"Opura_","2021-10-26 00:03:17","@kkajenn Morning, kesibukannya apa hari ini? Kuliah? Sekolah? Offline online?","0"
"lucopan","2021-10-26 00:03:15","@nctzenbase Inget udah banyak yang sekolah offline","0"
"loafsyya","2021-10-26 00:02:19","sekolah offline is sucks","-1"
"chiengra","2021-10-26 00:02:16","Adekku udah mulai masuk sekolah offline 👍🏻👍🏻","1"
"yeowrinn","2021-10-25 23:59:54","Ngantuk bgt sekolah offline pagi"" td malem bru selese nugas jam 2🙂","-1"
"2ier4","2021-10-25 23:58:22","sekolah offline tu enak, kalau punya temen :)","1"
"ketoprags","2021-10-25 23:54:31","dulu kok gue bisa ya survive sekolah offline selama seminggu terus smpe sore lagi awokawok. sekarang kyk seminggu 3 kali aja rasanya capek bngt dah","-1"
"pacarkyle","2021-10-25 23:47:31","@lmkhccvr uda sekolah offline, tapi hari ini jadwal online","0"
"cutiexunqi","2021-10-25 23:46:25","Sekolah offline tiap hari rasanya capek bgt","-1"
"hppyjinn_","2021-10-25 23:42:18","Adakah yang sekolah offline hari ini?","0"
"jisungbigwin","2021-10-25 23:40:00","Tentu saja saya sekolah offline lagi","0"
"SKR_AJG","2021-10-25 23:30:25","akhirnya sekolah offline https://t.co/NncbUMnM33","0"
"bertanyarl","2021-10-25 23:30:00","tanyarl
balik ke kos sekarang yay/nay
belum sekolah offline si🥲","0"
"VBonika","2021-10-25 23:28:38","@S_AshelJKT48 udahh,mau sekolah offline ka wkwk,have a nice day","1"
"gewdung","2021-10-25 23:27:35","@oshxjung sekolah w knp gada yg kena ya... keren juga... OFFLINE AGAKNYA MAYAN NYIKSA ANJIR","-1"
"hennderyyyy","2021-10-25 23:26:07","sekolah offline?","0"
"itsmezezee","2021-10-25 23:26:06","sekolah offline gaenk klo di sesi, ga adil sm yg online soalny nnt takutnya klo materine nggak diulang lg waktu gnti sesi tp malah lanjut materi","-1"
"chan66_","2021-10-25 23:23:19","@ishyuckandk harusnya sih lagi offline tapi di sekolah ku lagi ada acara jadi hari ini online","0"
"strawtaeberi","2021-10-25 23:21:50","@jkkily Oalah kamu sekolah offline. Semangat 🥰","1"
"fairrysnow","2021-10-25 23:20:43","sekolah offline😿","0"
"subschfess","2021-10-25 23:16:33","Sch! Struggle ulangan pake kertas lembaran pas sekolah offline 😔 https://t.co/ynVrjsNBcx","-1"
"YujinIsBae","2021-10-25 23:12:44","Hadeh dah sekolah offline aja","-1"
"skinatvelvet","2021-10-25 23:09:37","@emulsyen Pagi ijaaa! Semangat kamu jugak! Sekolah offline apa masih online ja?","1"
"seungminieys","2021-10-25 23:09:23","@convomf engga kadang abis subuh tidur lagi, soalnya papah kerja biasanya mulai jam 8/9an apa lagi pas aku sekolah offline ydh deh gada yg jam 6 udah bangun🙂🙇‍♀️","-1"
"gueygpertama","2021-10-25 23:04:04","Gak lgi gue mandi jam sgitu klo gk sekolah offline, DINGIN NJRR","0"
"rikimiato","2021-10-25 23:00:37","pagii semuaa, have a nice day♡ semangat buat yang sekolah offline","1"
"sukacowogepeng","2021-10-25 22:59:11","hadeh, hari ini sekolah offline😭","-1"
"cloudlyneos","2021-10-25 22:58:56","@convomf kalo kamu udah sekolah offline, jualan roti/donat aja pagi2. temenku dulu jualan itu laku sih soalnya pada beli buat sarapan biasanya.","0"
"hyubeary","2021-10-25 22:49:34","@Yxwidy Morninggg, sekolah offline ni","1"
"ephouriae","2021-10-25 22:42:32","@convomf eh nderr tp ini buat sekolah offline doang yaa 😁😁","0"
"subak_buah","2021-10-25 22:33:18","@convomf Pengennya gitu tapi aku sekolah offline :v","1"
"FIatterer","2021-10-25 22:22:29","Gimana biar gue ada semangat sekolah offline","1"
"shenfizzle","2021-10-25 21:44:39","@fairytales__17 Wih kecee, hari ini sekolah nya online apaa offline?","0"
"babyappleho","2021-10-25 19:24:46","@convomf Enak kok offline, cuman karena udah terlalu lama online, capeknya offline jadi kerasa banget. Capek fisik ya bukan pikiran, kayak bolak-balik nya, belum lagi pagi-pagi udah harus siap ke sekolah tuh kerasa banget nguras tenaga.","-1"
"iHugSehun","2021-10-25 19:03:14","Lemes banget, gak ada mood buat ngapa-ngapain. Gak mau sekolah offline juga nanti pagi. Buat apa gitu","-1"
"iHugSehun","2021-10-25 18:39:25","@schfess Dari awal juga gak pernah pengen offline class, makanya suka ngerasa aneh kalau ada yang ngebet banget pengen sekolah offline","-1"
"schfess","2021-10-25 18:06:21","Sch! No salty ya, awalnya aku seneng sekolah offline, seneng banget, tapi ternyata disekolahan juga cuma dikasih tugas aja, gak dijelasin materi + memperdalam materi, dan selalu bilang ""nanti materinya dibaca sendiri ya""🥲","1"
"iHugSehun","2021-10-25 17:44:37","Langit, bisakah kau turunkan meteor ke sekolahku? Aku tidak ingin sekolah offline","-1"
"tatalolosits","2021-10-25 17:30:25","•PROGRESS•
1. today aku abis sekolah offline mat peminatan dan mat wajib
2. lanjut sekolah daring sampe jam dua siang
3. tobk gratisan dari salah satu bimbel deket sekolah
4. disambung les
5. dan belajar uh fisika buat besok

*kinda tired but it's ok https://t.co/rUJo4G4rNK","0"
"svngjkcoty","2021-10-25 17:18:46","males besok sekolah offline..","-1"
"mrkdyz","2021-10-25 16:56:19","besok sekolah offline tp gua blm ngantuk help, mana pagi sekolahnya","1"
"lioninsideme","2021-10-25 16:51:22","Bedanya yang bikin lebih berat saat ini, siswanya jadi kudu belajar dewe.

Kalo dari segi tugas, gue liat liat gaada bedanya sama gue sekolah offline dulu.

Adek gue aja sampe mendeklarasikan ""gue ga akan mau masuk sekolah SMA di sekolah lu.""","-1"
"lioninsideme","2021-10-25 16:49:26","Yak silahkan hujat tapi beneran gue ngerasa gitu. I mean, dulu gue sekolah pas offline aja tekanannya sebesar itu.","-1"
"iaiyaka","2021-10-25 16:48:08","@bertanyarl dibebanin ke PR. Apa-apa Pr, pr, pr, dan deadlinenya tuh gak seminggu kayak pr kalau offline. Bisa cuma sehari, dua hari dlnya. Semua mata pelajaran ada PR. Aku nemenin adikku yg sekolah offline aja ngerasain capek, apa lagi anak² seumuran dia pasti ngerasanya capek banget","-1"
"iaiyaka","2021-10-25 16:46:46","@bertanyarl Hmm gimana ya aku ngejelasinnya... 

Kalau kita sekolah biasa kayak offline gitu kan latihan ya latihan aja gitu kerjain pas mata pelajarannya berlangsung. Pulang juga paling bawa beberapa PR, dan aku yakin ga semua mata pelajaran ada PR. Tapi sejak sfh tuh, tugasnya jadi-c","0"
"b4byjn","2021-10-25 16:26:42","beeeeesok gue sekolah offline for the first time setelah sekian lama AOWKWKW","1"
"flawlassy","2021-10-25 16:23:53","@convomf gue ngeri di praktikumnya sih. gatau kenapa kaya belum siap aja gitu. mungkin karna efek kelamaan online, ya ? ada yang ngerasa gini juga engga si ? jangan - jangan cuma gue doang yang ga ada rasa excited mau sekolah offline π____π","-1"
"tanaaaasan","2021-10-25 16:17:08","@armyfess_ Sksd aja my gapapaa, lumayan kan ada temen ngobrol di kelas kalo udah sekolah offline👍","1"
"nkngis","2021-10-25 16:12:27","@convomfs kalian udah sekolah offline belum","0"
"horahosh","2021-10-25 16:04:19","@quarrenity IYAAA. Ambil shift malem mumpung besok sekolah offline ehehheeh","1"
"puririen","2021-10-25 16:00:50","semenjak sekolah offline jadi jarang buka studytwt 🥲","-1"
"zzhngchnle","2021-10-25 16:00:01","Kapan sekolah offline sie😭😭","0"
"popicepakemilo","2021-10-25 15:59:10","@convomf Ga relate di gw si, soalnya gw lebih ngerti pelajaran yg di sampaikan sama gurunya lewat offline. Walaupun di sekolah mh kgk ada temen yodeh lh ya, yang penting pelajaran nya masuk ke otak. Kalo online mh mana gw bangunnya kesiangan, ngantuk mulu lagi","1"
"chocxbearrie","2021-10-25 15:57:07","Dah ah pen bobok anj
Bsok ku kudu bangun pagi n sekolah offline lgie smsksksdmcndj heuhhh https://t.co/KI0SdAHXXW","-1"
"peekagyuu_","2021-10-25 15:55:07","@oojixsz kak nath kangen huee,aku sekarang udah sekolah offline,dari jam 07:00-16:30 setiap hari jadi udah jarang megang hp gitu…padahal kangen buat jbjb TT
kak nath apa kabar?","1"
"scyyxz","2021-10-25 15:37:57","Gue besok sekolah offline,tp males tidur njir 😭😭😭","-1"
"Annetaaulia","2021-10-25 15:33:15","@gabyJKT48 Jam berapa nih ? Takutnya besok gak bisa liat karna sekolah offline","-1"
"moncherie94","2021-10-25 15:32:17","Bioskop udah buka, sekolah udah mulai offline, gym buka semua. Kenapa cuma shake n shape yg ga buka2 lagi 😭 butuh olahraga bgd","1"
"serbukcrystal","2021-10-25 15:29:13","lawak bgt sekolah gue, kalo HUT sekolah diadakan secara offline sedangkan maulid nabi diadakan online cuih ternyata lebih penting hut dari pada agama:)","0"
"lovebangtanies","2021-10-25 15:28:07","@BaskaraRaditya_ anyway bar, tips biar cepet ngantuk dong besok gue harus sekolah offline 😔","-1"
"L0VIESB","2021-10-25 15:24:26","besok sekolah offline tapi masih belum ngantuk, malas tidur 😞😞","-1"
"oppiezoo","2021-10-25 15:23:34","gw punya sekolah lucu banget najis. KP3 offline wajib ikut, ptmt berjalan, sahabat belajar berjalan, tapi giliran kena teguran lgsg ketar ketir, awikwok https://t.co/9Ffar2SHFn","-1"
"sunm0rii","2021-10-25 15:18:20","yg nggak gue suka pas sekolah offline ini tu...dari jam 7 sampe 10 murid cmn boleh duduk doang ga boleh bawa minum/makan gaada istirahat sumpah apa gk pegel mana kursinya kayu lg","-1"
"ssaerimu","2021-10-25 15:17:28","besok harus sekolah offline","1"
"lovebangtanies","2021-10-25 15:14:49","moots, cara biar cepet ngantuk dan tdr gmn? bsk harus sekolah offline soalnya huhu","-1"
"visttae","2021-10-25 15:09:33","@jakegolddz aku udah sekolah offline 😭 waktu buat istirahat aja sering kurang huhuu. hype enha sama bangtan udah susah dbjsjsmaka

I MISS YOU TOO😭😭","-1"
"godamye","2021-10-25 14:56:59","@chshiitravis pretty good! agak cape karena td sekolah offline but still fun, anw thank uuu nay 😆 jgn begadang jg kalo ngantuk buruan tidur okaayy","-1"
"howiyoung","2021-10-25 14:55:33","teruuussss ya anjir jeki taiiiiii KSEL AH. TERUS JG TEMEN KELAS GAJELASSS ULER BGT DIH. lawak banget, masa ngaduin apa yang ada di gc ke guru wkwk. padahal biasanya juga elu pada misuh misuh. terus ya.. besok sekolah offline. dah nangis aja","-1"
"nandahhrp","2021-10-25 14:51:01","Wedeh bsk hari pertama sekolah offline","1"
"jjjminieee","2021-10-25 14:49:44","besok kalian sekolah online atau offline??","0"
"starfruud","2021-10-25 14:49:30","bangun pagi pagi di hari senin, harus sekolah offline","1"
"laylaacityx","2021-10-25 14:44:01","Mengcapek besok sekolah offline harus bangun pagi² jgn begadang 😩🤯","-1"
"rideruto","2021-10-25 14:43:25","@Ioveoid itu hal yg dilakuin setiap hari, btw lo msh sekolah online atau udah offline","0"
"jayparkjngsng","2021-10-25 14:26:01","deluan yaa, besok sekolah offline😌 gnite!! sleep well moots🌛💛","1"
"gatauuuulagideh","2021-10-25 14:23:30","Tidurr, bsok sekolah offline https://t.co/VdIp9BGuFM","1"
"kidulity","2021-10-25 14:21:42","@convomf sama nder aku juga besok kudu offline tapi lagi ada yang bikin ga enak :(( gapapa yuk sekolah aja, belajar kan hak kamu :(( semangatt! 🫂","1"
"ffnnajae","2021-10-25 14:14:47","@convomf Sekolah offline gapapa, asalkan kalo mtk, ekonomi dirumah aja boleh ga sih😭😭😭","1"
"beyourselfbts","2021-10-25 14:09:47","Makin gw pikir pikir masa sekolah online udah nyaman banget kalo offline ga tau kenapa gw kyk males banget","-1"
"kecci","2021-10-25 13:57:09","@summeryish YEEESS satu bulan ini aku udah sekolah offline, kak summy!! SENENG BANGETTT BANGET! SETELAH NUNGGU SATU TAHUN akhirnya bisa ketemu T____T i’m even happier now to hear that!! 🥺 KAK SUMMY SHOULD ALWAYS BE HAPPY &lt;3","1"
"dobbycrushh","2021-10-25 13:49:36","kalian lebih suka sekolah offline apa online?
plis tugas gue gk offline gk online sama aja bejibun","0"
"achiosaurs","2021-10-25 13:39:19","sudah siap sekolah offline go 😇","1"
"ayasazi","2021-10-25 13:39:08","BESOK AKU SEKOLAH OFFLINE YEAYYY","1"
"kalaN0There","2021-10-25 13:37:33","fyi, gue sekolah offline tapi tugasnya di kumpul di google classroom","1"
"kalaN0There","2021-10-25 13:36:30","cape banget tugas gue numpuk. baru hari pertama di minggi kedua sekolah offline, udah numpuk aja. kadang guru tuh mikir gasi kalau anak murid itu masih ada mapel lain? iya si ngejar materi, tapi cape banget harus begadang cuma gara gara tugas 😢","-1"
"lastrimilikku","2021-10-25 13:30:42","@BLACKPINKMARKET Kan sekolah, kuliah, uda pada offline. Jadi mereka ngurangin buat jajan. Kecuali kalo kemarin covid nganggur jadi pelampiasan ke beli merch &amp; pc gitu","0"
"Mastertogels","2021-10-25 13:29:14","Jalanan, Mall, Bioskop, Bandara, tempat wisata dah mulai buka, anak2 mulai sekolah offline. Para pedagangpun mulai tersenyum, pasien covidpun mulai hilang di RS, semoga jadi pertanda kearah kebaikan, tetap taat Prokes supaya tdk terjadi gelombang ketiga. https://t.co/S1yTTHltp3","1"
"Hajaekyuu","2021-10-25 13:08:49","Maaf moots aku jrng jbjb, akhir2 ini lg overthinking semenjak sekolah offline ☺🙏🏻","-1"
"jjkiesy","2021-10-25 13:00:03","beberapa hari kedepan srl dulu yya, soalnya lagi sekolah offline. tugas juga numpuk 😭👍🏻","-1"
"kookiebullet","2021-10-25 12:58:06","@convomf KENAPA WEYYY JURUSANKU BLM BOLEH SEKOLAH OFFLINE","1"
"lukasomanalu","2021-10-25 12:55:41","@rahmadiheru88 @kompascom @alh_koentjoro Yang terbaik untuk bangsa ya, Bro. Anak-anak sudah mulai sekolah offline, lihat Jogja kemarin sampai macet, penuh mobil luar kota, ada rasa khawatir.","1"
"jjenorion","2021-10-25 12:54:14","kenapa ya sekolah offline lebih kerasa capeknya? tapi seru sihhh","1"
"sugarbabyykim","2021-10-25 12:52:04","@lunal0veg00d1 Senin ini my first sekolah offline after 2thn ga ke sekolah🤌","1"
"Faimeng606","2021-10-25 12:48:41","i mean, sekolah offline- sekolah biasa sih, emang tiap Senin - Jum'at","1"
"unicornangelkai","2021-10-25 12:48:10","@bertanyarl suatu saat nnti yg sklh pake kerudung akan merasakan

Sekolah online                         sekolah offline https://t.co/u5KMjtTCNm","0"
"sunooforlifee","2021-10-25 12:30:17","besok aku sekolah offline 🚶🏻‍♀️","1"
