username,tweetcreatedts,tweet,label_sentimen,tweet_cf,tweet_clean,tweet_clean_alay,tweet_token,tweet_stopword,tweet_normalisasi,tweet_stemming,tweet_bersih
ArdanNews,2021-10-26 03:53:15,"Kunci Jawaban Buku Tematik Tema 4 Kelas 3 SD Kewajiban dan Hakku di Rumah Halaman 14, 15, 16 dan 17: Meski sudah banyak sekolah yang memulai sekolah offline, namun sebagian besar proses belajar dari rumah masih dilakukan. https://t.co/0HiAyGcbsr",1,kunci jawaban buku tematik tema kelas sd kewajiban dan hakku di rumah halaman dan meski sudah banyak sekolah yang memulai sekolah offline namun sebagian besar proses belajar dari rumah masih dilakukan,kunci jawaban buku tematik tema kelas sd kewajiban dan hakku di rumah halaman dan meski sudah banyak sekolah yang memulai sekolah offline namun sebagian besar proses belajar dari rumah masih dilakukan,kunci jawaban buku tematik tema kelas sekolah dasar kewajiban dan hakku di rumah halaman dan meski sudah banyak sekolah yang memulai sekolah offline namun sebagian besar proses belajar dari rumah masih dilakukan,"['kunci', 'jawaban', 'buku', 'tematik', 'tema', 'kelas', 'sekolah', 'dasar', 'kewajiban', 'dan', 'hakku', 'di', 'rumah', 'halaman', 'dan', 'meski', 'sudah', 'banyak', 'sekolah', 'yang', 'memulai', 'sekolah', 'offline', 'namun', 'sebagian', 'besar', 'proses', 'belajar', 'dari', 'rumah', 'masih', 'dilakukan']","['kunci', 'buku', 'tematik', 'tema', 'kelas', 'sekolah', 'dasar', 'kewajiban', 'hakku', 'rumah', 'halaman', 'sekolah', 'sekolah', 'offline', 'proses', 'belajar', 'rumah']","['kunci', 'buku', 'tematik', 'tema', 'kelas', 'sekolah', 'dasar', 'kewajiban', 'hakku', 'rumah', 'halaman', 'sekolah', 'sekolah', 'offline', 'proses', 'belajar', 'rumah']","['kunci', 'buku', 'tematik', 'tema', 'kelas', 'sekolah', 'dasar', 'wajib', 'hak', 'rumah', 'halaman', 'sekolah', 'sekolah', 'offline', 'proses', 'ajar', 'rumah']",kunci buku tematik tema kelas sekolah dasar wajib hak rumah halaman sekolah sekolah offline proses ajar rumah
akuantariksa,2021-10-26 03:51:52,"Jujur anjir, gue ga nyangka bisa lancar ngomong di depan kelas
Udah 2 tahun ga sekolah offline gt kan padahal, tapi tiba-tiba berani",1,jujur anjir gue ga nyangka bisa lancar ngomong di depan kelas udah tahun ga sekolah offline gt kan padahal tapi tibatiba berani,jujur anjir gue ga nyangka bisa lancar ngomong di depan kelas udah tahun ga sekolah offline gt kan padahal tapi tibatiba berani,jujur anjir gue tidak menyangka bisa lancar berbicara di depan kelas sudah tahun tidak sekolah offline begitu kan padahal tapi tiba tiba berani,"['jujur', 'anjir', 'gue', 'tidak', 'menyangka', 'bisa', 'lancar', 'berbicara', 'di', 'depan', 'kelas', 'sudah', 'tahun', 'tidak', 'sekolah', 'offline', 'begitu', 'kan', 'padahal', 'tapi', 'tiba', 'tiba', 'berani']","['jujur', 'anjir', 'gue', 'menyangka', 'lancar', 'berbicara', 'kelas', 'sekolah', 'offline', 'berani']","['jujur', 'anjing', 'saya', 'menyangka', 'lancar', 'berbicara', 'kelas', 'sekolah', 'offline', 'berani']","['jujur', 'anjing', 'saya', 'sangka', 'lancar', 'bicara', 'kelas', 'sekolah', 'offline', 'berani']",jujur anjing saya sangka lancar bicara kelas sekolah offline berani
Shafira19232949,2021-10-26 03:49:00,@Fajri_UN1TY Lagi mau sekolah offline,1,unty lagi mau sekolah offline,unty lagi mau sekolah offline,unty lagi mau sekolah offline,"['unty', 'lagi', 'mau', 'sekolah', 'offline']","['unty', 'sekolah', 'offline']","['unty', 'sekolah', 'offline']","['unty', 'sekolah', 'offline']",unty sekolah offline
lov1nidle,2021-10-26 03:44:23,"haii tabi sudah pulangg sekolah offline , kamu offline atau online ?",0,haii tabi sudah pulangg sekolah offline kamu offline atau online,haii tabi sudah pulangg sekolah offline kamu offline atau online,hai tabi sudah pulangg sekolah offline kamu offline atau online,"['hai', 'tabi', 'sudah', 'pulangg', 'sekolah', 'offline', 'kamu', 'offline', 'atau', 'online']","['hai', 'tabi', 'pulangg', 'sekolah', 'offline', 'offline', 'online']","['hai', 'tabi', 'pulangg', 'sekolah', 'offline', 'offline', 'daring']","['hai', 'tabi', 'pulangg', 'sekolah', 'offline', 'offline', 'daring']",hai tabi pulangg sekolah offline offline daring
OmarAlbany,2021-10-26 03:44:11,"@A_LuluJKT48 Demi kamu aku sr sambil sekolah, mana sekolah offline",-1,lulujkt demi kamu aku sr sambil sekolah mana sekolah offline,lulujkt demi kamu aku sr sambil sekolah mana sekolah offline,lulujkt demi kamu aku sr sambil sekolah mana sekolah offline,"['lulujkt', 'demi', 'kamu', 'aku', 'sr', 'sambil', 'sekolah', 'mana', 'sekolah', 'offline']","['lulujkt', 'sr', 'sekolah', 'sekolah', 'offline']","['lulujkt', 'sr', 'sekolah', 'sekolah', 'offline']","['lulujkt', 'sr', 'sekolah', 'sekolah', 'offline']",lulujkt sr sekolah sekolah offline
ginxxaax,2021-10-26 03:44:08,"@itzelguise @armbdr Mjb, pelajaran tatap muka. Sekolah offline",1,mjb pelajaran tatap muka sekolah offline,mjb pelajaran tatap muka sekolah offline,mjb pelajaran tatap muka sekolah offline,"['mjb', 'pelajaran', 'tatap', 'muka', 'sekolah', 'offline']","['mjb', 'pelajaran', 'tatap', 'muka', 'sekolah', 'offline']","['mjb', 'pelajaran', 'tatap', 'muka', 'sekolah', 'offline']","['mjb', 'ajar', 'tatap', 'muka', 'sekolah', 'offline']",mjb ajar tatap muka sekolah offline
hyunsuksflickv,2021-10-26 03:43:42,"Halo guys selamat siang,pada sekolah offline atau daring nihh",0,halo guys selamat siangpada sekolah offline atau daring nihh,halo guys selamat siangpada sekolah offline atau daring nihh,halo guys selamat siangpada sekolah offline atau daring nih,"['halo', 'guys', 'selamat', 'siangpada', 'sekolah', 'offline', 'atau', 'daring', 'nih']","['halo', 'guys', 'selamat', 'siangpada', 'sekolah', 'offline', 'daring']","['halo', 'teman-teman', 'selamat', 'siangpada', 'sekolah', 'offline', 'daring']","['halo', 'teman', 'selamat', 'siangpada', 'sekolah', 'offline', 'daring']",halo teman selamat siangpada sekolah offline daring
itsmecamq,2021-10-26 03:43:16,@skrsbrees Loh masih daring?? Kukira udah sekolah offline,1,loh masih daring kukira udah sekolah offline,loh masih daring kukira udah sekolah offline,lah masih daring aku kira sudah sekolah offline,"['lah', 'masih', 'daring', 'aku', 'kira', 'sudah', 'sekolah', 'offline']","['daring', 'sekolah', 'offline']","['daring', 'sekolah', 'offline']","['daring', 'sekolah', 'offline']",daring sekolah offline
jeonhongie,2021-10-26 03:42:07,Svt konser online apa offline? Kaget bgt baru pulang sekolah 😢,0,svt konser online apa offline kaget bgt baru pulang sekolah,svt konser online apa offline kaget bgt baru pulang sekolah,svt konser online apa offline kaget banget baru pulang sekolah,"['svt', 'konser', 'online', 'apa', 'offline', 'kaget', 'banget', 'baru', 'pulang', 'sekolah']","['svt', 'konser', 'online', 'offline', 'kaget', 'banget', 'pulang', 'sekolah']","['svt', 'konser', 'daring', 'offline', 'kaget', 'banget', 'pulang', 'sekolah']","['svt', 'konser', 'daring', 'offline', 'kaget', 'banget', 'pulang', 'sekolah']",svt konser daring offline kaget banget pulang sekolah
jaceminlatte,2021-10-26 03:38:49,Yang sekolah offline biasanta pulang jam berapaa?🤔,1,yang sekolah offline biasanta pulang jam berapaa,yang sekolah offline biasanta pulang jam berapaa,yang sekolah offline biasanta pulang jam berapaa,"['yang', 'sekolah', 'offline', 'biasanta', 'pulang', 'jam', 'berapaa']","['sekolah', 'offline', 'biasanta', 'pulang', 'jam', 'berapaa']","['sekolah', 'offline', 'biasanta', 'pulang', 'jam', 'berapaa']","['sekolah', 'offline', 'biasanta', 'pulang', 'jam', 'berapaa']",sekolah offline biasanta pulang jam berapaa
donttalkkk,2021-10-26 03:36:34,"@schfess gpp kali beb, lu bisa sekolah offline aja udah sukur 😭 kangen tau daripada online dirumah sampe lulus",1,gpp kali beb lu bisa sekolah offline aja udah sukur kangen tau daripada online dirumah sampe lulus,gpp kali beb lu bisa sekolah offline aja udah sukur kangen tau daripada online dirumah sampe lulus,tidak apa apa kali sayang kamu bisa sekolah offline saja sudah sukur kangen tau daripada online di rumah sampai lulus,"['tidak', 'apa', 'apa', 'kali', 'sayang', 'kamu', 'bisa', 'sekolah', 'offline', 'saja', 'sudah', 'sukur', 'kangen', 'tau', 'daripada', 'online', 'di', 'rumah', 'sampai', 'lulus']","['kali', 'sayang', 'sekolah', 'offline', 'sukur', 'kangen', 'online', 'rumah', 'lulus']","['kali', 'sayang', 'sekolah', 'offline', 'sukur', 'kangen', 'daring', 'rumah', 'lulus']","['kali', 'sayang', 'sekolah', 'offline', 'sukur', 'kangen', 'daring', 'rumah', 'lulus']",kali sayang sekolah offline sukur kangen daring rumah lulus
drizzlebeez,2021-10-26 03:36:01,@ournutrijijel Gue udah sekolah offline,1,gue udah sekolah offline,gue udah sekolah offline,gue sudah sekolah offline,"['gue', 'sudah', 'sekolah', 'offline']","['gue', 'sekolah', 'offline']","['saya', 'sekolah', 'offline']","['saya', 'sekolah', 'offline']",saya sekolah offline
dolaxyx,2021-10-26 03:32:17,"@Fajri_UN1TY nugas nii,ak lgi sekolah offline",1,unty nugas niiak lgi sekolah offline,unty nugas niiak lgi sekolah offline,unty nugas niiak lagi sekolah offline,"['unty', 'nugas', 'niiak', 'lagi', 'sekolah', 'offline']","['unty', 'nugas', 'niiak', 'sekolah', 'offline']","['unty', 'nugas', 'niiak', 'sekolah', 'offline']","['unty', 'nugas', 'niiak', 'sekolah', 'offline']",unty nugas niiak sekolah offline
eunoiarainnn,2021-10-26 03:27:10,"@Fajri_UN1TY lagi sekolah offline ji, ngantuk bangun tidur",-1,unty lagi sekolah offline ji ngantuk bangun tidur,unty lagi sekolah offline ji ngantuk bangun tidur,unty lagi sekolah offline ji mengantuk bangun tidur,"['unty', 'lagi', 'sekolah', 'offline', 'ji', 'mengantuk', 'bangun', 'tidur']","['unty', 'sekolah', 'offline', 'ji', 'mengantuk', 'bangun', 'tidur']","['unty', 'sekolah', 'offline', 'ji', 'mengantuk', 'bangun', 'tidur']","['unty', 'sekolah', 'offline', 'ji', 'antuk', 'bangun', 'tidur']",unty sekolah offline ji antuk bangun tidur
seesawpie,2021-10-26 03:26:40,gasabar merasakan moment pulang sekolah pas sekolah offline,1,gasabar merasakan moment pulang sekolah pas sekolah offline,gasabar merasakan moment pulang sekolah pas sekolah offline,gasabar merasakan momen pulang sekolah pas sekolah offline,"['gasabar', 'merasakan', 'momen', 'pulang', 'sekolah', 'pas', 'sekolah', 'offline']","['gasabar', 'merasakan', 'momen', 'pulang', 'sekolah', 'pas', 'sekolah', 'offline']","['gasabar', 'merasakan', 'momen', 'pulang', 'sekolah', 'pas', 'sekolah', 'offline']","['gasabar', 'rasa', 'momen', 'pulang', 'sekolah', 'pas', 'sekolah', 'offline']",gasabar rasa momen pulang sekolah pas sekolah offline
seaggulkim,2021-10-26 03:25:32,Gasuka sekolah offline tapi cape sekolah online,-1,gasuka sekolah offline tapi cape sekolah online,gasuka sekolah offline tapi cape sekolah online,tidak suka sekolah offline tapi cape sekolah online,"['tidak', 'suka', 'sekolah', 'offline', 'tapi', 'cape', 'sekolah', 'online']","['suka', 'sekolah', 'offline', 'cape', 'sekolah', 'online']","['suka', 'sekolah', 'offline', 'capek', 'sekolah', 'daring']","['suka', 'sekolah', 'offline', 'capek', 'sekolah', 'daring']",suka sekolah offline capek sekolah daring
RachelRhabani,2021-10-26 03:22:25,"Giliran sekolah nya offline malah ga dibolehin sekolah, hadu.",1,giliran sekolah nya offline malah ga dibolehin sekolah hadu,giliran sekolah nya offline malah ga dibolehin sekolah hadu,giliran sekolah nya offline malah tidak dibolehin sekolah hadu,"['giliran', 'sekolah', 'nya', 'offline', 'malah', 'tidak', 'dibolehin', 'sekolah', 'hadu']","['giliran', 'sekolah', 'offline', 'dibolehin', 'sekolah', 'hadu']","['giliran', 'sekolah', 'offline', 'dibolehin', 'sekolah', 'hadu']","['gilir', 'sekolah', 'offline', 'dibolehin', 'sekolah', 'hadu']",gilir sekolah offline dibolehin sekolah hadu
belongstolia,2021-10-26 03:12:47,aaaa aku gak siap buat sekolah offline back normal,-1,aaaa aku gak siap buat sekolah offline back normal,aaaa aku gak siap buat sekolah offline back normal,aaaa aku tidak siap buat sekolah offline back normal,"['aaaa', 'aku', 'tidak', 'siap', 'buat', 'sekolah', 'offline', 'back', 'normal']","['aaaa', 'sekolah', 'offline', 'back', 'normal']","['aaaa', 'sekolah', 'offline', 'back', 'normal']","['aaaa', 'sekolah', 'offline', 'back', 'normal']",aaaa sekolah offline back normal
caramellmw,2021-10-26 03:08:31,Kalian hari ini sekolah nya offline/online?,0,kalian hari ini sekolah nya offlineonline,kalian hari ini sekolah nya offlineonline,kalian hari ini sekolah nya offlineonline,"['kalian', 'hari', 'ini', 'sekolah', 'nya', 'offlineonline']","['sekolah', 'offlineonline']","['sekolah', 'offlineonline']","['sekolah', 'offlineonline']",sekolah offlineonline
yutyutacho,2021-10-26 03:06:25,"@alrighvt seruu xixi, sekolah nya offline atau online nii? jangan lupa makan yaa, hv a nice day!",1,seruu xixi sekolah nya offline atau online nii jangan lupa makan yaa hv a nice day,seruu xixi sekolah nya offline atau online nii jangan lupa makan yaa hv a nice day,seru xixi sekolah nya offline atau online ini jangan lupa makan ya hv a nice day,"['seru', 'xixi', 'sekolah', 'nya', 'offline', 'atau', 'online', 'ini', 'jangan', 'lupa', 'makan', 'ya', 'hv', 'a', 'nice', 'day']","['seru', 'xixi', 'sekolah', 'offline', 'online', 'lupa', 'makan', 'hv', 'a', 'nice', 'day']","['seru', 'xixi', 'sekolah', 'offline', 'daring', 'lupa', 'makan', 'hv', 'a', 'nice', 'day']","['seru', 'xixi', 'sekolah', 'offline', 'daring', 'lupa', 'makan', 'hv', 'a', 'nice', 'day']",seru xixi sekolah offline daring lupa makan hv a nice day
schfess,2021-10-26 03:00:34,Pagii semua untuk yang sekolah offline semangat semuanya sch! https://t.co/1YIyyrkC9k,1,pagii semua untuk yang sekolah offline semangat semuanya sch,pagii semua untuk yang sekolah offline semangat semuanya sch,pagii semua untuk yang sekolah offline semangat semuanya sch,"['pagii', 'semua', 'untuk', 'yang', 'sekolah', 'offline', 'semangat', 'semuanya', 'sch']","['pagii', 'sekolah', 'offline', 'semangat', 'sch']","['pagii', 'sekolah', 'offline', 'semangat', 'sch']","['pagi', 'sekolah', 'offline', 'semangat', 'sch']",pagi sekolah offline semangat sch
jayparkchingu,2021-10-26 02:57:30,Banyak yg udah offline ya sekolah/kuliahnya,1,banyak yg udah offline ya sekolahkuliahnya,banyak yg udah offline ya sekolahkuliahnya,banyak yang sudah offline ya sekolahkuliahnya,"['banyak', 'yang', 'sudah', 'offline', 'ya', 'sekolahkuliahnya']","['offline', 'sekolahkuliahnya']","['offline', 'sekolahkuliahnya']","['offline', 'sekolahkuliahnya']",offline sekolahkuliahnya
yuddingt,2021-10-26 02:52:36,baru aja tadi bilang kangen sekolah offline wkwkwk https://t.co/SHsuaS2aE8,1,baru aja tadi bilang kangen sekolah offline wkwkwk,baru aja tadi bilang kangen sekolah offline wkwkwk,baru saja tadi bilang kangen sekolah offline wkwk,"['baru', 'saja', 'tadi', 'bilang', 'kangen', 'sekolah', 'offline', 'wkwk']","['kangen', 'sekolah', 'offline', 'wkwk']","['kangen', 'sekolah', 'offline', 'wkwk']","['kangen', 'sekolah', 'offline', 'wkwk']",kangen sekolah offline wkwk
kthunvx,2021-10-26 02:51:21,@taedyflowery Ka mi Udah luluss sekolah? Atau blum offline?,0,ka mi udah luluss sekolah atau blum offline,ka mi udah luluss sekolah atau blum offline,kakak mi sudah luluss sekolah atau belum offline,"['kakak', 'mi', 'sudah', 'luluss', 'sekolah', 'atau', 'belum', 'offline']","['kakak', 'mi', 'luluss', 'sekolah', 'offline']","['kakak', 'mi', 'luluss', 'sekolah', 'offline']","['kakak', 'mi', 'luluss', 'sekolah', 'offline']",kakak mi luluss sekolah offline
juneehui,2021-10-26 02:50:18,"aaa ko gada yg bilangin ak hpbd, lagi sekolah offline 😭😭😭 https://t.co/h6tmTxQk2S",1,aaa ko gada yg bilangin ak hpbd lagi sekolah offline,aaa ko gada yg bilangin ak hpbd lagi sekolah offline,aaa kok tidak ada yang bilang aku hpbd lagi sekolah offline,"['aaa', 'kok', 'tidak', 'ada', 'yang', 'bilang', 'aku', 'hpbd', 'lagi', 'sekolah', 'offline']","['aaa', 'hpbd', 'sekolah', 'offline']","['aaa', 'hpbd', 'sekolah', 'offline']","['aaa', 'hpbd', 'sekolah', 'offline']",aaa hpbd sekolah offline
blowoutbeats,2021-10-26 02:50:09,"besok sekolah offline, malam ini gw sibuk ngerjain semua tugas",-1,besok sekolah offline malam ini gw sibuk ngerjain semua tugas,besok sekolah offline malam ini gw sibuk ngerjain semua tugas,besok sekolah offline malam ini gue sibuk mengerjakan semua tugas,"['besok', 'sekolah', 'offline', 'malam', 'ini', 'gue', 'sibuk', 'mengerjakan', 'semua', 'tugas']","['besok', 'sekolah', 'offline', 'malam', 'gue', 'sibuk', 'tugas']","['besok', 'sekolah', 'offline', 'malam', 'saya', 'sibuk', 'tugas']","['besok', 'sekolah', 'offline', 'malam', 'saya', 'sibuk', 'tugas']",besok sekolah offline malam saya sibuk tugas
kzhvcxx,2021-10-26 02:42:57,sekolah offline bikin bete,-1,sekolah offline bikin bete,sekolah offline bikin bete,sekolah offline bikin sebal,"['sekolah', 'offline', 'bikin', 'sebal']","['sekolah', 'offline', 'sebal']","['sekolah', 'offline', 'sebal']","['sekolah', 'offline', 'sebal']",sekolah offline sebal
ssweetbbyz,2021-10-26 02:34:38,"mau izin rest deh, ku mulai aktif sekolah offline. yang daring pun penuh tugas 😔",0,mau izin rest deh ku mulai aktif sekolah offline yang daring pun penuh tugas,mau izin rest deh ku mulai aktif sekolah offline yang daring pun penuh tugas,mau izin rest deh ku mulai aktif sekolah offline yang daring pun penuh tugas,"['mau', 'izin', 'rest', 'deh', 'ku', 'mulai', 'aktif', 'sekolah', 'offline', 'yang', 'daring', 'pun', 'penuh', 'tugas']","['izin', 'rest', 'deh', 'ku', 'aktif', 'sekolah', 'offline', 'daring', 'penuh', 'tugas']","['izin', 'rest', 'deh', 'ku', 'aktif', 'sekolah', 'offline', 'daring', 'penuh', 'tugas']","['izin', 'rest', 'deh', 'ku', 'aktif', 'sekolah', 'offline', 'daring', 'penuh', 'tugas']",izin rest deh ku aktif sekolah offline daring penuh tugas
ttikaaaa_,2021-10-26 02:32:20,"@Fajri_UN1TY Haii aji,, lagi apa ni?
Aku lagi sekolah offline https://t.co/crYc4aVy1S",1,unty haii aji lagi apa ni aku lagi sekolah offline,unty haii aji lagi apa ni aku lagi sekolah offline,unty hai aji lagi apa nih aku lagi sekolah offline,"['unty', 'hai', 'aji', 'lagi', 'apa', 'nih', 'aku', 'lagi', 'sekolah', 'offline']","['unty', 'hai', 'aji', 'sekolah', 'offline']","['unty', 'hai', 'aji', 'sekolah', 'offline']","['unty', 'hai', 'aji', 'sekolah', 'offline']",unty hai aji sekolah offline
xcottonbabea,2021-10-26 02:16:29,"@nctzenbase streamingnya liat waktu juga dimana waktu kalian luang, soalnya sekarang udah banyak yang sekolah offline looo ada yg kuliah jg, apalagi ini weekday kan ya, tp kalo kalian senggang yuk streaming🤩🤩🤩",0,streamingnya liat waktu juga dimana waktu kalian luang soalnya sekarang udah banyak yang sekolah offline looo ada yg kuliah jg apalagi ini weekday kan ya tp kalo kalian senggang yuk streaming,streamingnya liat waktu juga dimana waktu kalian luang soalnya sekarang udah banyak yang sekolah offline looo ada yg kuliah jg apalagi ini weekday kan ya tp kalo kalian senggang yuk streaming,streamingnya lihat waktu juga dimana waktu kalian luang soalnya sekarang sudah banyak yang sekolah offline lo ada yang kuliah juga apalagi ini weekday kan ya tetapi kalau kalian senggang yuk streaming,"['streamingnya', 'lihat', 'waktu', 'juga', 'dimana', 'waktu', 'kalian', 'luang', 'soalnya', 'sekarang', 'sudah', 'banyak', 'yang', 'sekolah', 'offline', 'lo', 'ada', 'yang', 'kuliah', 'juga', 'apalagi', 'ini', 'weekday', 'kan', 'ya', 'tetapi', 'kalau', 'kalian', 'senggang', 'yuk', 'streaming']","['streamingnya', 'lihat', 'dimana', 'luang', 'sekolah', 'offline', 'lo', 'kuliah', 'weekday', 'senggang', 'yuk', 'streaming']","['streamingnya', 'lihat', 'dimana', 'luang', 'sekolah', 'offline', 'kamu', 'kuliah', 'weekday', 'senggang', 'yuk', 'streaming']","['streamingnya', 'lihat', 'mana', 'luang', 'sekolah', 'offline', 'kamu', 'kuliah', 'weekday', 'senggang', 'yuk', 'streaming']",streamingnya lihat mana luang sekolah offline kamu kuliah weekday senggang yuk streaming
Laviendya,2021-10-26 02:14:06,"@alyaavrd morning, lagi sekolah offline ya bestie. ☺️",1,morning lagi sekolah offline ya bestie,morning lagi sekolah offline ya bestie,pagi lagi sekolah offline ya bestie,"['pagi', 'lagi', 'sekolah', 'offline', 'ya', 'bestie']","['pagi', 'sekolah', 'offline', 'bestie']","['pagi', 'sekolah', 'offline', 'bestie']","['pagi', 'sekolah', 'offline', 'bestie']",pagi sekolah offline bestie
martabakjensoo,2021-10-26 02:12:11,@oh4eva Sekolah offline njir aku hari ini,-1,sekolah offline njir aku hari ini,sekolah offline njir aku hari ini,sekolah offline anjir aku hari ini,"['sekolah', 'offline', 'anjir', 'aku', 'hari', 'ini']","['sekolah', 'offline', 'anjir']","['sekolah', 'offline', 'anjing']","['sekolah', 'offline', 'anjing']",sekolah offline anjing
moonismaples,2021-10-26 02:10:29,"@yeolbabylion SEMANGAT NA 😭 sekolah offline sih seru, yang ga seru tuh ntar gue ujian offline 😭😭😭😭",1,semangat na sekolah offline sih seru yang ga seru tuh ntar gue ujian offline,semangat na sekolah offline sih seru yang ga seru tuh ntar gue ujian offline,semangat na sekolah offline sih seru yang tidak seru itu nanti gue ujian offline,"['semangat', 'na', 'sekolah', 'offline', 'sih', 'seru', 'yang', 'tidak', 'seru', 'itu', 'nanti', 'gue', 'ujian', 'offline']","['semangat', 'na', 'sekolah', 'offline', 'seru', 'seru', 'gue', 'ujian', 'offline']","['semangat', 'na', 'sekolah', 'offline', 'seru', 'seru', 'saya', 'ujian', 'offline']","['semangat', 'na', 'sekolah', 'offline', 'seru', 'seru', 'saya', 'uji', 'offline']",semangat na sekolah offline seru seru saya uji offline
pbysalsabila,2021-10-26 02:08:35,"@Fajri_UN1TY Pagi ajii, absen sekolah offline dulu👋🏻 https://t.co/M6vw6Di1PV",1,unty pagi ajii absen sekolah offline dulu,unty pagi ajii absen sekolah offline dulu,unty pagi ajii absen sekolah offline dulu,"['unty', 'pagi', 'ajii', 'absen', 'sekolah', 'offline', 'dulu']","['unty', 'pagi', 'ajii', 'absen', 'sekolah', 'offline']","['unty', 'pagi', 'ajii', 'absen', 'sekolah', 'offline']","['unty', 'pagi', 'aji', 'absen', 'sekolah', 'offline']",unty pagi aji absen sekolah offline
moonismaples,2021-10-26 02:07:19,"yes offline school is cool, BUT NOT WITH UJIAN OFFLINE DI SEKOLAH",1,yes offline school is cool but not with ujian offline di sekolah,yes offline school is cool but not with ujian offline di sekolah,iya offline school is keren but not dengan ujian offline di sekolah,"['iya', 'offline', 'school', 'is', 'keren', 'but', 'not', 'dengan', 'ujian', 'offline', 'di', 'sekolah']","['iya', 'offline', 'school', 'is', 'keren', 'but', 'not', 'ujian', 'offline', 'sekolah']","['iya', 'offline', 'school', 'is', 'keren', 'but', 'not', 'ujian', 'offline', 'sekolah']","['iya', 'offline', 'school', 'is', 'keren', 'but', 'not', 'uji', 'offline', 'sekolah']",iya offline school is keren but not uji offline sekolah
BigWinSepcitcyx,2021-10-26 02:00:06,@jaemcityx haiii makjii dr aku yg sekolah offline hjhi,1,haiii makjii dr aku yg sekolah offline hjhi,haiii makjii dr aku yg sekolah offline hjhi,hai makjii dari aku yang sekolah offline hjhi,"['hai', 'makjii', 'dari', 'aku', 'yang', 'sekolah', 'offline', 'hjhi']","['hai', 'makjii', 'sekolah', 'offline', 'hjhi']","['hai', 'makjii', 'sekolah', 'offline', 'hjhi']","['hai', 'makjii', 'sekolah', 'offline', 'hjhi']",hai makjii sekolah offline hjhi
terjehajeha,2021-10-26 01:59:46,"@kimiychang @nctzenbase Karna sticker keluarnya hari jumat, orang2 udah punya banyak waktu luang, besoknya juga weekend. Kl favorite ini karna keluarnya hari senin, udah pada banyak yg sekolah, kuliah, kerja offline. Make sense juga sih ga secepet sticker",0,karna sticker keluarnya hari jumat orang udah punya banyak waktu luang besoknya juga weekend kl favorite ini karna keluarnya hari senin udah pada banyak yg sekolah kuliah kerja offline make sense juga sih ga secepet sticker,karna sticker keluarnya hari jumat orang udah punya banyak waktu luang besoknya juga weekend kl favorite ini karna keluarnya hari senin udah pada banyak yg sekolah kuliah kerja offline make sense juga sih ga secepet sticker,karena sticker keluarnya hari jumat orang sudah punya banyak waktu luang besoknya juga akhir pekan kalau favorite ini karena keluarnya hari senin sudah pada banyak yang sekolah kuliah kerja offline make sense juga sih tidak secepet sticker,"['karena', 'sticker', 'keluarnya', 'hari', 'jumat', 'orang', 'sudah', 'punya', 'banyak', 'waktu', 'luang', 'besoknya', 'juga', 'akhir', 'pekan', 'kalau', 'favorite', 'ini', 'karena', 'keluarnya', 'hari', 'senin', 'sudah', 'pada', 'banyak', 'yang', 'sekolah', 'kuliah', 'kerja', 'offline', 'make', 'sense', 'juga', 'sih', 'tidak', 'secepet', 'sticker']","['sticker', 'keluarnya', 'jumat', 'orang', 'luang', 'besoknya', 'pekan', 'favorite', 'keluarnya', 'senin', 'sekolah', 'kuliah', 'kerja', 'offline', 'make', 'sense', 'secepet', 'sticker']","['sticker', 'keluarnya', 'jumat', 'orang', 'luang', 'besoknya', 'pekan', 'favorite', 'keluarnya', 'senin', 'sekolah', 'kuliah', 'kerja', 'offline', 'make', 'sense', 'secepet', 'sticker']","['sticker', 'keluar', 'jumat', 'orang', 'luang', 'besok', 'pekan', 'favorite', 'keluar', 'senin', 'sekolah', 'kuliah', 'kerja', 'offline', 'make', 'sense', 'secepet', 'sticker']",sticker keluar jumat orang luang besok pekan favorite keluar senin sekolah kuliah kerja offline make sense secepet sticker
15november2002,2021-10-26 01:51:23,kalian yg sekolah offline apa online?,0,kalian yg sekolah offline apa online,kalian yg sekolah offline apa online,kalian yang sekolah offline apa online,"['kalian', 'yang', 'sekolah', 'offline', 'apa', 'online']","['sekolah', 'offline', 'online']","['sekolah', 'offline', 'daring']","['sekolah', 'offline', 'daring']",sekolah offline daring
